date,symbol,side,qty,price,commission,slippage_bps,fill_model
2024-10-16,AAPL,BUY,431,231.62315999999998,1.0,1.0,next_open
2024-11-01,AAPL,SELL,431,220.9429035,1.0,1.0,next_open
2024-11-27,AAPL,BUY,406,234.4884465,1.0,1.0,next_open
2025-01-03,AAPL,SELL,406,243.335664,1.0,1.0,next_open
2025-07-02,AAPL,BUY,473,208.930891,1.0,1.0,next_open
2025-08-01,AAPL,SELL,473,210.8439135,1.0,1.0,next_open
2025-08-08,AAPL,BUY,452,220.85208300000002,1.0,1.0,next_open
2025-10-13,AAPL,SELL,452,249.355062,1.0,1.0,next_open
2025-10-21,AAPL,BUY,430,261.906188,1.0,1.0,next_open
2026-01-07,AAPL,SELL,430,263.17368,1.0,1.0,next_open
